"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04726","mmu04726","Serotonergic synapse","39/1582","131/8997",0.000392574133939145,0.0012578395720091,0.000640937361533298,"224129/109731/109880/12286/12287/12288/14688/14693/14696/14702/14704/14708/14401/14402/14678/14679/14681/14682/14683/18747/18749/16508/16519/18750/18751/18752/26413/26417/26395/18795/18797/11836/18798/74519/56448/110157/15461/16653/15567",39
"mmu01522","mmu01522","Endocrine resistance","30/1582","93/8997",0.000407509849781392,0.00129250598819553,0.000658601777424473,"432530/224129/11512/11514/11515/11651/23797/12028/109880/12576/14083/14683/14784/18747/18749/72508/26413/26417/26419/26420/26414/26395/26396/20185/11836/110157/15461/16653/20418/20662",30
"mmu04970","mmu04970","Salivary secretion","28/1582","85/8997",0.000428338222362068,0.00134498201821689,0.000685341155779309,"432530/224129/11512/11514/11515/11928/232975/11933/67972/11941/20535/70405/14682/14683/18747/18749/18750/18751/18752/18795/18797/234889/381290/320707/18798/20496/20544/22318",28
"mmu04211","mmu04211","Longevity regulating pathway","29/1582","90/8997",0.000515891193445671,0.0016038597499202,0.000817253375755518,"108097/19082/105787/108079/432530/224129/11512/11514/11515/11651/23797/67605/12028/12359/72993/56484/13684/16367/384783/18747/18749/12326/207565/72508/15461/16653/12421/20869/22084",29
"mmu00061","mmu00061","Fatty acid biosynthesis","10/1582","19/8997",0.000542237221277039,0.00166924007334304,0.000850568190238492,"100705/94180/257633/74205/50790/216739/234309/223722/26922/71147",10
"mmu05214","mmu05214","Glioma","25/1582","74/8997",0.000558907564895441,0.00170385412987542,0.000868205926051171,"11651/23797/12028/109880/70405/108058/14784/12322/12323/12325/12326/18750/18751/18752/26413/26417/26395/26396/19211/11836/110157/15461/16653/20418/20662",25
"mmu00260","mmu00260","Glycine, serine and threonine metabolism","16/1582","40/8997",0.000692812215177287,0.00209175995736219,0.0010658649464266,"110695/109731/12411/107869/13382/67092/104174/76238/26912/18648/56012/12183/108037/236539/107272/27364",16
"mmu04920","mmu04920","Adipocytokine signaling pathway","24/1582","71/8997",0.000708914173880505,0.00211999095808075,0.00108025016972267,"108097/19082/105787/108079/100705/94180/74205/50790/216739/11651/23797/12894/78070/20525/16367/384783/207565/26419/26420/26414/109648/74551/19247/20869",24
"mmu04931","mmu04931","Insulin resistance","33/1582","110/8997",0.000920579951379748,0.00272700098804944,0.00138955464359207,"228966/108097/19082/105787/108079/100705/11651/23797/12894/56637/20525/14936/16367/384783/18751/18753/18754/20111/20112/72508/26419/26420/26414/108155/74551/18607/19211/19247/19268/110095/19309/26457/26569",33
"mmu04664","mmu04664","Fc epsilon RI signaling pathway","22/1582","66/8997",0.0014340444458497,0.00417891403932031,0.00212938294997213,"11651/23797/14389/14784/18750/26413/26417/26419/26420/26414/26395/26396/26398/26399/26400/18607/19353/170758/110157/15461/16653/20662",22
"mmu04310","mmu04310","Wnt signaling pathway","46/1582","171/8997",0.00143733349123119,0.00417891403932031,0.00212938294997213,"12005/11789/19058/12914/12995/13000/13016/12387/18163/26965/12301/208846/76441/13542/13543/13544/108058/56637/18747/18749/93687/27373/12322/12323/12325/18750/18751/18752/26409/26419/26420/26414/18795/18797/19055/19056/106042/243548/19878/18798/19353/170758/11848/56505/81004/21887",46
"mmu04370","mmu04370","VEGF signaling pathway","20/1582","58/8997",0.00145629893768842,0.00419520978379966,0.00213768651403804,"11651/23797/19058/12540/14083/18750/18751/18752/26413/26417/26395/26396/19055/19056/15507/19353/170758/110157/15461/16653",20
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","25/1582","79/8997",0.00162680160948845,0.00464377913981248,0.00236625688652865,"11651/23797/12028/109880/56484/14388/14784/56637/13684/18750/18751/18752/72508/26413/26417/26395/26396/19211/11836/110157/15461/16653/20104/20418/20662",25
"mmu04152","mmu04152","AMPK signaling pathway","36/1582","127/8997",0.00171280217045341,0.0048452241578592,0.00246890402948239,"226849/26932/26931/51792/71978/108097/19082/105787/108079/100705/11651/23797/67605/12283/12894/78070/56690/15568/56484/14936/16367/384783/207565/72508/26409/74551/18607/18641/18642/56421/19052/19053/21770/20869/72149/22084",36
"mmu05205","mmu05205","Proteoglycans in cancer","53/1582","205/8997",0.00173394006956777,0.00486122483789535,0.00247705724223967,"11461/11651/23797/11733/109676/11735/16801/109880/12540/12387/13207/13869/22350/108058/14083/327826/18479/14388/14784/75705/16412/18747/18749/12322/12323/12325/18750/18751/18752/72508/26413/26417/26395/26396/17931/18569/18607/232807/19247/19878/11836/19353/19684/110157/15461/16653/11848/66922/20104/20544/17126/20662/21844",53
